noun	gender-singular
Авакум	m
Аврам	m
Агатон	m
Агнија	f
Агница	f
Адам	m
Аделина	f
Акса	m
Аксентије	m
Аксо	m
Алекса	m
Александар	m
Александра	f
Алексеј	m
Алексија	f
Алексије	m
Алимпије	m
Ана	f
Анастасија	f
Ангелина	f
Анда	f
Андра	m
Андреа	f
Андреј	m
Андреја	m
Андрија	m
Андријана	f
Андријаш	m
Андро	m
Андроник	m
Анђа	f
Анђела	f
Анђелија	f
Анђелка	f
Анђелко	m
Аница	f
Анка	f
Анкица	f
Анта	m
Анто	m
Антонија	f
Антоније	m
Антонина	f
Аранђел	m
Аранђеловдан	m
Арса	m
Арсен	m
Арсеније	m
Арсо	m
Атанасије	m
Атанацко	m
Аћим	m
Бајко	m
Бајо	m
Бајчета	m
Балша	m
Бане	m
Батрић	m
Берисав	m
Берислав	m
Берислава	f
Бериша	m
Берко	m
Биљан	m
Биљана	f
Бисенија	f
Бисерка	f
Бисерко	m
Благиња	f
Благица	f
Благоја	m
Благоје	m
Благојка	f
Благомир	m
Благота	m
Блажа	m
Блажен	m
Блаженка	f
Блажимир	m
Блажо	m
Блашко	m
Бобан	m
Бобана	f
Бобиша	m
Богдан	m
Богдана	f
Богданка	f
Богељ	m
Богић	m
Богиша	m
Богобој	m
Богоје	m
Богољуб	m
Богомир	m
Богосав	m
Богослав	m
Божа	m
Божана	f
Божидар	m
Божидарка	f
Божин	m
Божина	m
Божинка	f
Божићко	m
Божица	f
Божо	m
Божур	m
Боин	m
Боица	m
Боја	f
Бојан	m
Бојана	f
Бојка	f
Бојко	m
Бојо	m
Бојчета	m
Бора	m
Боран	m
Боривој	m
Боривоје	m
Борика	f
Борис	m
Борисав	m
Борислав	m
Борислава	f
Бориславка	f
Борица	f
Бориша	m
Борјана	f
Борјанка	f
Борка	f
Борко	m
Боро	m
Бороје	m
Боса	f
Босанка	f
Босиљка	f
Босна	f
Бошко	m
Брајан	m
Брајица	m
Брана	m
Бране	m
Бранивој	m
Бранивоје	m
Бранимир	m
Бранисав	m
Бранислав	m
Бранислава	f
Браниславка	f
Браниша	m
Бранка	f
Бранкица	f
Бранко	m
Брано	m
Братимир	m
Братислав	m
Братислава	f
Братован	m
Братољуб	m
Брацан	m
Брнча	m
Будимир	m
Будимирка	f
Будимка	f
Будисав	m
Будислав	m
Будислава	f
Будиславка	f
Вајо	m
Валерија	f
Вања	m
Варвара	f
Вартоломеј	m
Васа	m
Василија	f
Василије	m
Василка	f
Васиљ	m
Васиљка	f
Васиљко	m
Васка	f
Васко	m
Васкрсија	f
Васкрсије	m
Васо	m
Васоје	m
Ватољ	m
Векослав	m
Велемир	m
Велибор	m
Велиборка	f
Велизар	m
Велика	f
Велимир	m
Велимирка	f
Велина	f
Велинка	f
Велисав	m
Велисава	f
Велислав	m
Величко	m
Велиша	m
Вељко	m
Веран	m
Верица	f
Верка	f
Верољуб	m
Вероника	f
Верослава	f
Веса	m
Весела	f
Веселин	m
Веселина	f
Веселинка	f
Веселка	f
Веселко	m
Веска	f
Веско	m
Весна	f
Весо	m
Вид	m
Вида	f
Видак	m
Видан	m
Видач	m
Виден	m
Видоја	m
Видоје	m
Видојка	f
Видојко	m
Видосав	m
Видосава	f
Видослав	m
Виктор	m
Викторија	f
Вилотије	m
Винка	f
Виолета	f
Витка	f
Витко	m
Витомир	m
Витомирка	f
Вићан	m
Вићентије	m
Вишеслав	m
Вишеслава	f
Вишња	f
Вјекослав	m
Влада	m
Владан	m
Владана	f
Владанка	f
Владе	m
Владета	m
Владимир	m
Владимирка	f
Владисав	m
Владислав	m
Владислава	f
Владиславка	f
Владица	m
Владо	m
Владоје	m
Владун	m
Влаисав	m
Влајка	f
Влајко	m
Власије	m
Власта	f
Властимир	m
Властимирка	f
Влатка	f
Влатко	m
Влашко	m
Воин	m
Воица	m
Воја	m
Војдраг	m
Војимир	m
Војин	m
Војинка	f
Војислав	m
Војислава	f
Војиславка	f
Војка	f
Војкан	m
Војко	m
Војо	m
Вранеш	m
Вугдраг	m
Вузман	m
Вуило	m
Вуин	m
Вуица	m
Вујадин	m
Вујадинка	f
Вујак	m
Вујан	m
Вујана	f
Вујета	m
Вујка	f
Вујко	m
Вујо	m
Вујош	m
Вујчета	m
Вујчин	m
Вук	m
Вукадин	m
Вукадинка	f
Вукајло	m
Вукало	m
Вукаљ	m
Вукан	m
Вукана	f
Вукас	m
Вукац	m
Вукач	m
Вукашин	m
Вукеља	m
Вукена	f
Вукић	m
Вукица	f
Вукман	m
Вукмиљ	m
Вукмир	m
Вукмира	f
Вуко	m
Вуковоје	m
Вукоица	m
Вукоје	m
Вукојица	m
Вукола	m
Вукоман	m
Вукомир	m
Вукосав	m
Вукосава	f
Вукослав	m
Вукота	m
Вуксан	m
Вукша	m
Вуле	m
Вулета	m
Вунко	m
Вуча	m
Вучан	m
Вучен	m
Вучета	m
Вучина	m
Вучић	m
Вучко	m
Вучур	m
Гавра	m
Гаврила	f
Гаврилка	f
Гаврило	m
Гавро	m
Гаја	m
Гајин	m
Гајо	m
Гача	m
Гвозден	m
Гвозденија	f
Гвозденка	f
Гвозденко	m
Генадије	m
Георгије	m
Георгина	f
Герасим	m
Герман	m
Глигор	m
Глигорије	m
Глиша	m
Глишо	m
Годеч	m
Годомир	m
Гојимир	m
Гојко	m
Голуб	m
Горан	m
Горана	f
Горанка	f
Гордан	m
Гордана	f
Горица	f
Горјан	m
Горјана	f
Горољуб	m
Горчило	m
Горчин	m
Госпава	f
Госпана	f
Гостимир	m
Гостољуб	m
Градета	m
Градимир	m
Градимирка	f
Градиша	m
Гргур	m
Грдан	m
Григорије	m
Гријак	m
Грозда	f
Гроздан	m
Гроздана	f
Грубан	m
Грубац	m
Грубач	m
Грубета	m
Грубеша	m
Грубиша	m
Груја	m
Грујица	m
Грујо	m
Дабижив	m
Дабиша	m
Дабо	m
Дабог	m
Давид	m
Давиду	m
Давор	m
Даворјанка	f
Даворка	f
Дајана	f
Далибор	m
Далиборка	f
Дамир	m
Дамјан	m
Дамјанка	f
Дамљан	m
Дамљанка	f
Дамњан	m
Дана	f
Дане	m
Данијел	m
Данијела	f
Данило	m
Даница	f
Данка	f
Данко	m
Данојла	f
Данчул	m
Дара	f
Дарије	m
Даријо	m
Даринка	f
Дарио	m
Дарјан	m
Дарка	f
Дарко	m
Дафина	f
Даша	f
Дворка	f
Дева	f
Дејан	m
Дејана	f
Деливоје	m
Деса	f
Десанка	f
Десимир	m
Десимирка	f
Деспина	f
Деспиња	f
Деспот	m
Дивна	f
Дикосава	f
Димитрије	m
Димчо	m
Дионисије	m
Дионисију	m
Дмитар	m
Дмитра	f
добар	m
Добрашин	m
Добривој	m
Добривоје	m
Добрија	f
Добрила	f
Добрило	m
Добрина	f
Добринка	f
Добринко	m
Добрисав	m
Добрислав	m
Добрица	m
Добровук	m
Добросав	m
Добросава	f
Добросавка	f
Доброслав	m
Доброслава	f
Дојчило	m
Дојчин	m
Докна	f
Доко	m
Дора	f
Доротеј	m
Доротеја	f
Доситеј	m
Достана	f
Драга	f
Драган	m
Драгана	f
Драгаш	m
Драги	m
Драгија	f
Драгиња	f
Драгисав	m
Драгислав	m
Драгић	m
Драгица	f
Драгиша	m
Драго	m
Драгобрат	m
Драгован	m
Драгодан	m
Драгоја	m
Драгоје	m
Драгојла	f
Драгојло	m
Драгољуб	m
Драгоман	m
Драгомир	m
Драгомира	f
Драгомирка	f
Драгорад	m
Драгосав	m
Драгосије	m
Драгослав	m
Драгослава	f
Драгославка	f
Драгош	m
Драгутин	m
Дража	m
Дражета	m
Дражо	m
Драило	m
Дракша	m
Драшко	m
Дрена	f
Дренка	f
Дрина	f
Дринка	f
Дубравац	m
Дубравка	f
Дубравко	m
Дујак	m
Дука	m
Дукадин	m
Дуња	f
Душан	m
Душанка	f
Душица	f
Душка	f
